img_entrenamiento,validacion,preprocesamiento,inpaint,RGB_gray,arquitectura,capas,filtros,neuronas,test,Acc,Bal_acc,F_score,Kappa,AUC,Tiempo(mins)
OCT,No,No,No,RGB,Alqudah,4,2.0,0/0,iphone,0.25252525252525254,0.2553904428904429,0.2680076000962942,0.05629267035939711,0.5073824074197162,10.119773733615876
OCT,No,No,No,RGB,Alqudah,4,2.0,0/0,Samsung,0.3655913978494624,0.19565957446808513,0.3276426737505085,0.010994953136265306,0.556558756057125,10.119773733615876
OCT,No,No,No,RGB,Ghosh,6,1.0,256/1024/512,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.5259898026982345,4.498930553595225
OCT,No,No,No,RGB,Ghosh,6,1.0,256/1024/512,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.4536024671626925,4.498930553595225
OCT,No,No,No,RGB,Alqudah,4,2.0,512/256,iphone,0.1717171717171717,0.21818181818181817,0.08342346636357525,-0.004827330115113382,0.4796999417211456,15.852477149168651
OCT,No,No,No,RGB,Alqudah,4,2.0,512/256,Samsung,0.3118279569892473,0.18782978723404256,0.29591284833220316,-0.029579657498702616,0.5576750789084715,15.852477149168651
OCT,No,No,No,RGB,Ghosh,6,1.0,128/512/256,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.6056384739912909,4.287060658137004
OCT,No,No,No,RGB,Ghosh,6,1.0,128/512/256,Samsung,0.4838709677419355,0.2372340425531915,0.3404910929224844,0.015873015873015817,0.519924373854282,4.287060658137004
OCT,No,No,No,RGB,Mobeen,2,1.0,100/50,iphone,0.25252525252525254,0.19667832167832167,0.2475219064349499,-0.020903010033444636,0.49673425415248573,12.887910004456838
OCT,No,No,No,RGB,Mobeen,2,1.0,100/50,Samsung,0.23655913978494625,0.14604255319148937,0.22240150598359554,-0.03462864305860225,0.5192387461330625,12.887910004456838
OCT,No,No,No,RGB,Ghosh,6,1.0,64/256/128,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.49137895071392146,4.179313147068024
OCT,No,No,No,RGB,Ghosh,6,1.0,64/256/128,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.500647896340324,4.179313147068024
OCT,No,No,No,RGB,Ghosh,6,1.0,128/256/512,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.4921459081964616,4.325950773557027
OCT,No,No,No,RGB,Ghosh,6,1.0,128/256/512,Samsung,0.4946236559139785,0.19574468085106383,0.33691756272401435,-0.006447156343541316,0.5424418848627692,4.325950773557027
OCT,No,No,No,RGB,Alqudah,4,2.0,128/64,iphone,0.15151515151515152,0.19667832167832167,0.09023569023569025,-0.021370670596904784,0.4965302079327076,11.695987371603648
OCT,No,No,No,RGB,Alqudah,4,2.0,128/64,Samsung,0.3870967741935484,0.3454224924012158,0.4083037464401691,0.1482969151670953,0.6137029286612509,11.695987371603648
OCT,No,No,No,RGB,Ghosh,6,1.0,512/256/128,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.5022122902936857,4.464519023895264
OCT,No,No,No,RGB,Ghosh,6,1.0,512/256/128,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.4660367870741838,4.464519023895264
OCT,No,No,No,RGB,Ghosh,6,0.5,256/1024/512,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.537740008751077,3.7842934330304465
OCT,No,No,No,RGB,Ghosh,6,0.5,256/1024/512,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.520102510319434,3.7842934330304465
OCT,No,No,No,RGB,Alqudah,4,2.0,64/128,iphone,0.1111111111111111,0.12025058275058276,0.08082207354934627,-0.06961325966850818,0.492562060947523,11.090374743938446
OCT,No,No,No,RGB,Alqudah,4,2.0,64/128,Samsung,0.26881720430107525,0.25931914893617025,0.31615130404593234,0.08121458666279247,0.5555880071124212,11.090374743938446
OCT,No,No,No,RGB,Ghosh,6,0.5,128/512/256,iphone,0.47474747474747475,0.19583333333333333,0.3121627231216272,-0.012588512981903888,0.5480923220818756,3.732978562513987
OCT,No,No,No,RGB,Ghosh,6,0.5,128/512/256,Samsung,0.4838709677419355,0.19148936170212766,0.33691756272401435,-0.0076749435665912635,0.5302636134720107,3.732978562513987
OCT,No,No,No,RGB,Ghosh,6,0.5,64/256/128,iphone,0.3939393939393939,0.16742424242424242,0.2950282041191133,-0.07608695652173902,0.5000983752460559,3.7639646530151367
OCT,No,No,No,RGB,Ghosh,6,0.5,64/256/128,Samsung,0.44086021505376344,0.30340425531914894,0.4126791431270322,0.12691821628452793,0.5451118009250878,3.7639646530151367
OCT,No,No,No,RGB,Ghosh,6,0.5,128/256/512,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.5184709219810575,3.732296367486318
OCT,No,No,No,RGB,Ghosh,6,0.5,128/256/512,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.5484833632199703,3.732296367486318
OCT,No,No,No,RGB,Mobeen,2,1.0,256/128,iphone,0.24242424242424243,0.20340909090909093,0.1366635939306147,0.000134661998384078,0.48664343487903994,26.442825369040172
OCT,No,No,No,RGB,Mobeen,2,1.0,256/128,Samsung,0.3010752688172043,0.31629787234042556,0.25649396593819446,0.037267080745341574,0.5818750387211786,26.442825369040172
OCT,No,No,No,RGB,Alqudah,4,2.0,128/256,iphone,0.09090909090909091,0.18333333333333332,0.04837685026364272,-0.020151133501259633,0.5465049932311468,11.636991902192433
OCT,No,No,No,RGB,Alqudah,4,2.0,128/256,Samsung,0.3655913978494624,0.2691063829787234,0.3751555172743803,0.1145715668872036,0.47029424025591504,11.636991902192433
OCT,No,No,No,RGB,Ghosh,6,0.5,512/256/128,iphone,0.42424242424242425,0.19114219114219116,0.3206051042308352,-0.026186579378068675,0.4618032217716648,3.7456005533536274
OCT,No,No,No,RGB,Ghosh,6,0.5,512/256/128,Samsung,0.3870967741935484,0.23263829787234042,0.3561077098723442,0.002070783132529952,0.516973832167887,3.7456005533536274
